preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 2, 0.8628127970835907, 0.8823116314246328, 0.982034830895968, 0.7694122469376737, 0.9535168898723512
 standardize, PCA, 0.1, 5, 0.9112261395043657, 0.9184982729874, 0.9572686876899652, 0.8695379612208745, 0.9772978017900993
 standardize, PCA, 0.1, 10, 0.9279441722472017, 0.9327247292967729, 0.9567463220705414, 0.9010935299191537, 0.9828979147217222
 standardize, PCA, 0.1, 20, 0.942913042510711, 0.9452198522133386, 0.9453356488204718, 0.9405083646804286, 0.959890738465137
 standardize, PCA, 0.1, None, 0.9426747976701948, 0.9447581347808711, 0.9410909196280783, 0.9442678627558159, 0.9452442485303942
 standardize, PCA, 0.3, 2, 0.9200426677781672, 0.9269437443125366, 0.9714215994030793, 0.8738375332632703, 0.9330565003287739
 standardize, PCA, 0.3, 5, 0.9540245606333455, 0.9557237645479107, 0.95209241738709, 0.9569054312325216, 0.9910042672060536
 standardize, PCA, 0.3, 10, 0.982713326707494, 0.9834457058692484, 0.9872663850533113, 0.9782030195300806, 0.9949980214105313
 standardize, PCA, 0.3, 20, 0.9882567830364175, 0.9887073042513809, 0.9886729494438669, 0.9878417277248479, 0.9907981962823607
 standardize, PCA, 0.3, None, 0.9877976375413393, 0.988255216080633, 0.9873354140661214, 0.988261665735046, 0.9888027064351655
 standardize, PCA, 0.5, 2, 0.9200176131892464, 0.9259241704174757, 0.95826068118037, 0.8859551097479734, 0.937344409311707
 standardize, PCA, 0.5, 5, 0.9592560108859749, 0.9611969619663082, 0.9697461168451241, 0.949226894946978, 0.9840243275949699
 standardize, PCA, 0.5, 10, 0.9850620865053802, 0.9856580614791284, 0.9869756198310948, 0.9831622616582573, 0.9945342791444638
 standardize, PCA, 0.5, 20, 0.989337251001453, 0.9897461528612892, 0.9897335563868079, 0.9889415577538427, 0.9907516180459082
 standardize, PCA, 0.5, None, 0.9888628620549176, 0.989284439129715, 0.9887446544240216, 0.9889815417578418, 0.9894293294547627
 standardize, PCA, 0.7, 2, 0.9204583060337324, 0.9253277871931587, 0.9453202158064877, 0.8987738278761606, 0.9419445414586258
 standardize, PCA, 0.7, 5, 0.9675973288636349, 0.9689691977797527, 0.9721924129344833, 0.9630653311393516, 0.9884174716687989
 standardize, PCA, 0.7, 10, 0.9875225085160194, 0.9880147408245001, 0.9889363900802731, 0.986122019671658, 0.9928450716115609
 standardize, PCA, 0.7, 20, 0.989581186044212, 0.9899770141218871, 0.9896028895509523, 0.9895614837636412, 0.9889514670016046
 standardize, PCA, 0.7, None, 0.9893442879469585, 0.9897461570247941, 0.9890881367523715, 0.9896014717664408, 0.9899168191233219
 standardize, PCA, 0.8, 2, 0.922371584737552, 0.925827979574844, 0.9296269481171804, 0.916212084050543, 0.9486377790943656
 standardize, PCA, 0.8, 5, 0.9684193719998561, 0.9698445251954688, 0.975993084992297, 0.9609855131263518, 0.9881751958431806
 standardize, PCA, 0.8, 10, 0.987557993014428, 0.9880436091799696, 0.9886617401864928, 0.9864619356900542, 0.9921387885490718
 standardize, PCA, 0.8, 20, 0.9892903195732071, 0.9896980643791483, 0.9894222567245073, 0.989161529757842, 0.9885256751853106
 standardize, PCA, 0.8, None, 0.9894745917619339, 0.9898712046576039, 0.989169647908076, 0.989781461765841, 0.9900140940966482
 standardize, PCA, 0.9, 2, 0.922371584737552, 0.925827979574844, 0.9296269481171804, 0.916212084050543, 0.9486377790943656
 standardize, PCA, 0.9, 5, 0.9687381401981764, 0.9701427075553941, 0.9760493748418761, 0.9615654251411492, 0.9880859346584712
 standardize, ANOVA, 0.7, 10, 0.983587456538029, 0.9841671367263751, 0.980870839591757, 0.9863218677132487, 0.9956277327962333
 standardize, ANOVA, 0.7, 20, 0.9894289955018397, 0.9898327204561529, 0.9896567813474914, 0.9892015077636408, 0.992011757074945
 standardize, ANOVA, 0.8, 10, 0.9843188778736293, 0.9848597038541491, 0.9807842041001571, 0.9878816457486425, 0.9955626831981771
 standardize, ANOVA, 0.8, 20, 0.9893436676326661, 0.9897461560995708, 0.9891461580239224, 0.9895414637700398, 0.9919952060830631
 standardize, ANOVA, 0.9, 10, 0.9892310771309388, 0.9896307326397527, 0.9883429470231769, 0.990121359789636, 0.995241906434444
 standardize, ANOVA, 0.9, 20, 0.9910398610254004, 0.9913813870085729, 0.9911603696616945, 0.9909212877952356, 0.9932609132108035
