preprocess,feature_selection,percentage_selection,C_selection,kernel_selection,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, 0.5, poly, 0.961339103630325, 0.9636498543596718, 0.9840670551879702, 0.9396485206508343, 0.9936171928076979
 standardize, PCA, 0.7, 0.5, rbf, 0.9766552484372447, 0.977635856693048, 0.9807832603319969, 0.9725638893819075, 0.99427811907212
 standardize, PCA, 0.7, 0.5, sigmoid, 0.8724492184565784, 0.8767614706920618, 0.8687212918272602, 0.8762172313062635, 0.8996126427368747
 standardize, PCA, 0.7, 1, poly, 0.9659448486507298, 0.9678244763277635, 0.9838866460315817, 0.9486472208607974, 0.9938787222896794
 standardize, PCA, 0.7, 1, rbf, 0.9783209416309546, 0.9792229912555108, 0.9820281490591759, 0.9746435774338982, 0.9947565794927975
 standardize, PCA, 0.7, 1, sigmoid, 0.8691663474522816, 0.8739142453433557, 0.8676684609042951, 0.8706780031854843, 0.8993258083777229
 standardize, PCA, 0.7, 10, poly, 0.9741593287522633, 0.9754715664347262, 0.9874892155284549, 0.9611854871301512, 0.9949590764989988
 standardize, PCA, 0.7, 10, rbf, 0.9828550876071324, 0.9835707627542914, 0.9867382518335452, 0.9790029635308815, 0.9966843244868462
 standardize, PCA, 0.7, 10, sigmoid, 0.8661900184180735, 0.8713267394332604, 0.8665690864503779, 0.8658186690829017, 0.8987728917242712
 standardize, PCA, 0.7, 100, poly, 0.9847286935910826, 0.9853695111565927, 0.9888497989380124, 0.9806427375658755, 0.9963181123243853
 standardize, PCA, 0.7, 100, rbf, 0.9863616954655917, 0.9869181781716245, 0.9892792900221916, 0.9834623476264651, 0.9980487227392913
 standardize, PCA, 0.7, 100, sigmoid, 0.8654264416744368, 0.8706149308986786, 0.8659614900825312, 0.8648988390503082, 0.8987006024069931
 standardize, PCA, 0.7, 1000, poly, 0.9869205496840353, 0.9874664645867905, 0.9908313755046321, 0.983042423612068, 0.9973438042723274
 standardize, PCA, 0.7, 1000, rbf, 0.9884151223348127, 0.9888612095995917, 0.9889414194888427, 0.9879017437188494, 0.9982157462342516
 standardize, PCA, 0.7, 1000, sigmoid, 0.8653783218068813, 0.8705764545616257, 0.8659653643759743, 0.8647988530481084, 0.8986964012705165
 standardize, PCA, 0.8, 0.5, poly, 0.9568234363992698, 0.9595713945522888, 0.9837773567213312, 0.931309672472065, 0.9932466923280936
 standardize, PCA, 0.8, 0.5, rbf, 0.974780223131609, 0.9758755735251196, 0.9803804311397059, 0.9692443233181182, 0.9941296538425283
 standardize, PCA, 0.8, 0.5, sigmoid, 0.8746593598241251, 0.8786371453996036, 0.8690588860380014, 0.8803366633942484, 0.9109337917694242
 standardize, PCA, 0.8, 1, poly, 0.9642520012227054, 0.966295061359608, 0.9842773761650525, 0.945027726781411, 0.9936724167107972
 standardize, PCA, 0.8, 1, rbf, 0.9775944234779594, 0.9785304213520669, 0.9814777242486727, 0.9737437114117021, 0.9945593512631847
 standardize, PCA, 0.8, 1, sigmoid, 0.8715519976512264, 0.8760496394895083, 0.8689069303667332, 0.8742175112622711, 0.9115997884588014
 standardize, PCA, 0.8, 10, poly, 0.9725025327954562, 0.9739132900502762, 0.9863876970014991, 0.9590057830849588, 0.9947031400291172
 standardize, PCA, 0.8, 10, rbf, 0.982411658222054, 0.9831475267476047, 0.9863929086833902, 0.9784630395188836, 0.9964951699358165
 standardize, PCA, 0.8, 10, sigmoid, 0.8666349176040505, 0.8716537947747718, 0.8663576241780226, 0.8669185410992994, 0.9123127614887159
